source_id,ra,dec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag
4252499591471436160,282.8078670294493,-6.311627826891105,18.828867,18.964647,17.565773
4252499110434887040,282.80026918828673,-6.339956968080621,18.334642,18.670748,17.200426
4252501240738880640,282.84944308342426,-6.2750255541406075,19.200228,,
4252499110434886912,282.80010866079266,-6.34042224182674,20.542446,,
4252499076075147904,282.791668642264,-6.3476175112136834,18.181906,18.696602,17.32369
4252499144794840960,282.7760965694827,-6.339549651692872,19.142155,,
4252499076075147776,282.7939520407328,-6.345597996255387,17.93073,18.31265,16.98557
4252502099732614784,282.7602681827971,-6.326332878077285,19.016865,19.059317,18.065413
4252499144794840448,282.77421551014197,-6.34133222831296,19.696281,19.691286,18.195774
4252499591471497344,282.8075335994404,-6.305598372643054,18.952835,19.174091,17.24522
4252499557111700736,282.8003855436013,-6.318299277352033,20.268631,,
4252498972995995392,282.7812318675402,-6.350317843388062,20.153355,,
4252499660190699776,282.8473246630765,-6.298555759443565,20.362835,,
4252499144794812928,282.7752761892802,-6.343162609067783,19.454714,,
4252499415301336832,282.83942782917376,-6.317453726509803,17.746468,,
4252502099732545920,282.77161706957,-6.321582604489933,20.458817,,
4252502134092284160,282.77180626435654,-6.32161791349166,20.735353,,
4252502134092284032,282.78281267665506,-6.312687871341138,19.762491,,
4252499591471382144,282.8174840843695,-6.3092288681450714,18.593283,,
4252499660190702848,282.848045500138,-6.2976023102932395,17.829327,18.187302,16.91102
4252502134092285568,282.7796809016729,-6.315349235481672,18.985617,18.990421,17.57098
4252502134092285440,282.7795838265812,-6.315164201095011,20.447449,,
4252499110434888192,282.80353385901225,-6.336620894219104,18.100832,17.733444,16.668333
4252502134092285312,282.7792890348833,-6.314814139676842,19.793194,19.516008,18.179325
4252499041715619584,282.7660838133079,-6.349155421413663,19.044733,19.501995,17.672077
4252499728944153728,282.83833419073477,-6.291775906090883,18.055956,18.791935,16.87983
4252499041715618944,282.7688859732134,-6.346150403066458,20.389137,,
4252502031013285760,282.73534648983116,-6.333178046204008,20.411053,,
4252499488392009728,282.80890639382136,-6.33218907842707,19.36614,19.336359,18.211071
4252501206379115904,282.84751318138524,-6.279355186259406,19.959835,,
4252502168452238848,282.75300454529446,-6.317676575410705,19.865438,19.345606,18.47715
4252501240738873344,282.850416589087,-6.274788730301035,18.52134,,
4252499625830958720,282.8332732201774,-6.311282071544896,19.0797,,
4252499282237692928,282.8196111406883,-6.336885433617811,18.901148,19.261335,17.957535
4252501206379135232,282.84201863829605,-6.281999771844252,19.624567,19.40898,18.06602
4252499625830958848,282.8332276512554,-6.311435599188937,18.70073,18.628721,17.299944
4252499522751811840,282.81602121966796,-6.319533738718796,18.503704,,
4252501240772664960,282.8466086739924,-6.271228593300052,20.085676,,
4252502134092285952,282.77889950585524,-6.315999910296707,19.603031,19.356411,17.993204
4252502031013349248,282.72675602606597,-6.332385754875763,18.147503,18.792816,16.915323
4252499660224653952,282.8410399273941,-6.302501630251584,19.54305,19.236742,18.195015
4252499625830958464,282.83706838486717,-6.308051198595027,18.648722,18.95942,17.527273
4252499728910388864,282.8309874438933,-6.291718227567928,19.613419,19.39065,18.483513
4252499587123121408,282.80701169101286,-6.301153979972644,18.80228,18.88192,17.717306
4252499110434882176,282.79903094019903,-6.3412897789544695,20.313116,,
4252502168454797184,282.757766989924,-6.314975296546898,19.13425,19.176928,17.505232
4252499110434952448,282.79661840879504,-6.336539024258774,19.631344,19.869967,18.5661
4252499110434882432,282.79946155014886,-6.341261754318221,19.675922,,
4252502168454797056,282.75773631000726,-6.315273329206498,19.522947,,
4252499041715620992,282.7702639651763,-6.34527806312075,20.541658,,
4252499110434882304,282.7992161676998,-6.341463136382087,19.53668,18.882177,17.887636
4252499007355882496,282.7624373682582,-6.352239176498812,20.261896,19.945198,18.367884
4252499518380560640,282.8156954849297,-6.317258439555625,15.171694,15.514302,14.619558
4252499144794836352,282.7780102085253,-6.338442480783294,16.304708,16.986082,15.392327
4252499179154574592,282.7885258203082,-6.3292110064175695,17.556055,17.928308,16.65135
4252499660190695680,282.8442263112493,-6.301508697936922,19.93649,,
4252501240738943616,282.84768453427563,-6.2695283413299645,20.305344,19.968143,18.671597
4252499179154573952,282.79038269224077,-6.327526332532162,18.736689,,
4252499110434952704,282.798614481481,-6.334697951151083,18.333817,18.36677,16.871223
4252499660190699008,282.8409390027959,-6.304249282110039,20.244148,19.716665,18.751133
4252499007355949568,282.7562558576924,-6.350175523940723,19.799578,19.563955,18.30852
4252499522751745664,282.81994332145234,-6.322422984467861,18.97442,19.21867,17.48767
4252499522751745792,282.82018809136514,-6.322554020048261,20.19528,,
4252501996653342976,282.7526264615797,-6.338111963962217,18.492847,18.79802,17.17359
4252502168452248576,282.7546207483513,-6.315049626583775,16.814331,,
4252499518380563584,282.8268338263885,-6.31590955574193,17.837837,18.30909,16.522812
4252502202811988864,282.7660167710655,-6.304781615591679,18.222721,18.509878,17.36589
4252499488392062976,282.80988769683114,-6.325980053380295,18.223324,18.324936,16.798876
4252499282237903616,282.8150200219235,-6.337352641499019,20.569592,20.379461,19.367544
4252501133312174080,282.8501217521253,-6.285721713639582,20.463337,,
4252499488392063872,282.81240120051444,-6.3237015869735504,20.373205,19.661964,
4252499041715620096,282.76739166087447,-6.347920386323988,19.60597,19.147247,17.867987
4252502202846038016,282.76621030398985,-6.309816376111514,19.55219,19.559114,18.089836
4252499621459842688,282.8404303610548,-6.308109197635417,16.127932,17.235,15.052909
4252499110434884864,282.8040761390968,-6.336889376311465,19.200958,,
4252501240738886656,282.85387091751966,-6.2703909678836505,19.557095,19.80661,18.071781
4252501962293606016,282.7419534657327,-6.347461531783748,18.527044,18.916615,17.470701
4252499660190697984,282.8421629184128,-6.303445607857657,19.108335,19.151962,18.150978
4252499144794847104,282.77974310202006,-6.335652254353033,18.948645,19.246346,17.94153
4252499557111764608,282.7926807523395,-6.318037466177269,18.253813,18.564306,17.314575
4252499728944157952,282.83182217728194,-6.295450478877211,18.659073,19.151472,17.542904
4252499488392064384,282.8050443920177,-6.330125876539439,18.906757,19.054733,17.762384
4252499144794846976,282.7813271347851,-6.334267039868014,19.3051,,
4252502099732559232,282.76414954804864,-6.326807410845746,18.483576,17.81234,
4252502065373034624,282.74596677884716,-6.321861888964037,19.14892,,
4252502099732559104,282.7639809981426,-6.326500064657693,19.905748,,
4252499110434883712,282.80643306681543,-6.3349851138258195,19.344402,19.537725,18.347145
4252499488392005632,282.8099995560594,-6.33185161331809,18.510357,18.6599,17.482285
4252499003006437632,282.7537289472458,-6.347637617185825,18.882647,18.197556,17.303728
4252499144794845824,282.7787084127908,-6.336720639516527,17.877434,18.069159,16.757483
4252499591471444480,282.80622056449465,-6.312533382129556,19.420273,18.544283,17.69246
4252499660190756608,282.84484354054473,-6.294990536057952,20.574263,20.63214,18.933046
4252501996653345536,282.7535228813047,-6.337224332376256,19.551044,19.538721,18.31373
4252499144794803712,282.7762331754135,-6.343497974680057,18.539558,19.268791,17.381386
4252502031013239808,282.7350592813091,-6.3385491689540725,18.302185,,
4252502065373000320,282.74853996041605,-6.323663893628938,20.594782,,
4252501206379148160,282.84552488236216,-6.277786142659088,17.64001,18.184294,16.781963
4252499179154587264,282.78767650920287,-6.328536540272299,18.947468,,
4252502168452301568,282.7478566551361,-6.31399724578803,18.299873,18.541374,17.104229
4252499110434939520,282.80153076005786,-6.33342972210575,20.681957,,
4252499110434894336,282.7982274548096,-6.341100673766179,19.199186,19.767199,18.039276
4252496361689316608,282.71084485498096,-6.326702634173516,16.58714,17.14402,15.801339
4252499007355895552,282.76157796308905,-6.351529858378761,18.80515,19.286469,17.499186
4252502099732561152,282.7609999038535,-6.3305005014343685,19.986307,19.63583,18.545946
4252499591471447040,282.81549028417413,-6.303283631046101,18.156664,,
4252498968628576896,282.77586738919456,-6.351878427674232,19.47817,,
4252501236367749632,282.8514782302254,-6.267564280971629,15.200315,15.55326,14.658082
4252502164080411904,282.7592931856441,-6.319879692256129,16.460476,16.950323,15.726184
4252502164080411776,282.7549510829322,-6.319458800398651,15.134589,15.47473,14.517091
4252499694550662400,282.82162295253335,-6.298623999970949,19.277863,19.257204,17.854717
4252499694550614784,282.82437840253976,-6.301374177348217,17.470942,17.71392,16.269165
4252502031013192832,282.7332307052531,-6.3439635449635094,20.328985,,
4252499625830969472,282.8310731319184,-6.311718683961777,19.673687,,
4252502099732554624,282.76790028856874,-6.325011409602273,18.394247,18.887642,17.423933
4252499625830969600,282.831015911541,-6.312152645803982,18.727869,19.02353,17.542545
4252501962293600896,282.74333038507797,-6.346714393663708,19.457735,18.810093,17.72596
4252502065373029760,282.74439973815566,-6.324459312560025,20.202414,,
4252496430371057024,282.7047669276027,-6.3208184847112125,19.8276,,
4252499660190759296,282.84131884958356,-6.297795892376987,20.342094,,
4252499522785698560,282.825722806643,-6.316986486947792,19.515526,19.622417,18.346714
4252499041715632896,282.7626366539918,-6.350682118936292,20.57284,19.7348,18.79436
4252501996653339008,282.7535559019538,-6.337713134059205,20.06757,,
4252499144794891520,282.77249757043154,-6.337236586017064,19.009216,18.832722,17.532228
4252499552744132352,282.80044478727166,-6.320141686345245,17.4869,17.064507,15.806761
